artifact_date,prize,ticket_price_azn,identifier_type,identifier,source_context,checker_status
2025-07-08,"iPhone 16 Pro Max (256 GB) Black Titanium",1,chance_number,103932,"public winning-result graphic; first 1001 Sevinc draw",unproven
2025-07-08,"iPhone 16 Pro Max (256 GB) Black Titanium",1,chance_number,107185,"public winning-result graphic; first 1001 Sevinc draw",unproven
2025-07-08,"iPhone 16 Pro Max (256 GB) Black Titanium",1,chance_number,112723,"public winning-result graphic; first 1001 Sevinc draw",unproven
2025-07-08,"iPhone 16 Pro Max (256 GB) Black Titanium",1,chance_number,116364,"public winning-result graphic; first 1001 Sevinc draw",unproven
2025-07-08,"iPhone 16 Pro Max (256 GB) Black Titanium",1,chance_number,121104,"public winning-result graphic; first 1001 Sevinc draw",unproven
